TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
1471,"(25.624316976374125, 29.553677317948317)","(42.24929694950507, 62.99788823537266)","[(76.32691998953194, 39.87935441265748), (73.09197571571973, 55.791444320417895), (63.48168867721675, 64.92925371370784), (16.93, 50.03535928187333), (16.93, 60.765302961917975), (16.88482231645134, 80.98585760708549), (16.776879686086527, 99.97820464795034), (16.73749840811705, 111.31438680630609), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.8775758580781, 36.876779544039934)]"
1472,"(26.968704843829364, 28.14856435843376)","(43.28328484968916, 60.07961715950138)","[(84.35988386488846, 36.97463946820882), (73.279202027125, 48.046186401369845), (68.60491755585952, 62.586110297531704), (16.93, 49.80369829954783), (16.93, 57.6238657349376), (16.916759084775876, 71.45957585542413), (16.826315337203027, 92.76479558075668), (16.74535621131527, 109.05246202853374), (13.536657331990003, 111.54030476744752), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1473,"(28.65146701941762, 27.324830088963864)","(44.46031413887544, 58.06885166037826)","[(92.40063531187117, 36.732812074906214), (76.11698229002387, 40.10421357180252), (72.97522727143901, 58.31654041420335), (16.93, 49.72254143153331), (16.93, 57.33392306678625), (16.93, 66.14385554979297), (16.847281368448943, 90.04183227269351), (16.761515433206604, 104.40091458409964), (13.538830497589187, 110.91505397933949), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1474,"(26.56042039465649, 30.052465630489362)","(39.19613606180678, 62.59810047170776)","[(83.18068903817904, 37.160005321649884), (73.121927212733, 51.543323660702), (16.93, 49.71144573060721), (16.93, 57.253208709676045), (16.93, 64.98735131707758), (16.850869975987752, 89.57576186859069), (16.779126114107054, 99.3315542963265), (16.745818911109343, 108.91927058781084), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1475,"(27.948514593925296, 29.59388071771603)","(39.93102125791374, 61.77403206830277)","[(92.3637495966145, 36.73331551960945), (73.47121298941275, 46.75811286268949), (16.93, 49.711072420451636), (16.93, 57.23155450392053), (16.93, 64.78776745311141), (16.8519480878696, 89.43574208793542), (16.785954758514062, 98.0066257379864), (16.752343003879442, 107.04126388327549), (13.534456283786309, 112.1735777791962), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1476,"(24.47095528183528, 30.02918514386052)","(35.76781400676121, 63.15350046166148)","[(75.93492576663728, 40.40604412373293), (16.93, 49.711072420451636), (16.93, 57.214761321079585), (16.93, 64.75097718129109), (16.852226026007614, 89.39964487226091), (16.791685562831738, 97.26233752722833), (16.7568628090697, 105.74020567493702), (13.534456283786309, 112.1735777791962), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1477,"(25.69810013587419, 30.139308707607057)","(36.41387120071635, 62.78251407878938)","[(83.68245723534875, 37.081128881564496), (16.93, 49.711072420451636), (16.93, 57.21229713602605), (16.93, 64.72883184295056), (16.85227966052824, 89.39267908889492), (16.794047081542036, 96.95563528472839), (16.759602514588934, 104.9515618719003), (13.534456283786309, 112.1735777791962), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1478,"(26.86492348585371, 32.15634475380838)","(35.64948096905241, 66.66342966881372)","[(93.42949324454469, 36.718769427963444), (16.93, 49.711072420451636), (16.93, 57.21217587708938), (16.93, 64.72044344026237), (16.852291889596696, 89.391090838629), (16.794445860853543, 96.90384382164608), (16.761227767528116, 104.48372120440672), (16.73445628378631, 112.1900840243696), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1479,"(21.409787854889363, 31.98753201019879)","(30.839645029368633, 68.81836639091772)","[(16.98252958161533, 48.34303278195486), (16.93, 57.21217587708938), (16.93, 64.71434067065391), (16.852291889596696, 89.391090838629), (16.794497519386148, 96.89713466972407), (16.7614562392102, 104.4179539987781), (16.73508901512494, 112.00794778903513), (13.536264474688323, 111.65333542538806), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1480,"(21.37663457270676, 31.685843094433746)","(30.887049144026072, 68.0092807206071)","[(17.534233048517898, 44.48887898500174), (16.93, 56.2874187588988), (16.93, 64.71350857540008), (16.852291889596696, 89.391090838629), (16.794522107719715, 96.89394125990218), (16.761541737696177, 104.39334264888633), (16.735305085782528, 111.9457503068867), (13.553084226197894, 106.81405263392021), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1481,"(20.900704672561393, 32.83381312370708)","(29.776360506351473, 70.36125406558426)","[(20.429853698233718, 39.40817226488204), (16.93, 53.471331313544766), (16.93, 64.20430410813596), (16.852291889596696, 89.391090838629), (16.79453457876076, 96.8923215834465), (16.761560842671923, 104.38784314515435), (16.735459111489313, 111.90141290700534), (13.577648910444756, 99.74644205203745), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1482,"(20.71393799239042, 32.464808510749705)","(30.398412531441174, 68.6181781845393)","[(28.429764860282187, 36.81380821643204), (16.93622976068259, 48.66647941833006), (16.93, 61.43122043374598), (16.863380901014644, 87.38152552591797), (16.794536080914334, 96.89212649125082), (16.761564920662373, 104.38666926647451), (16.73547935239598, 111.89558641744334), (13.6422160756247, 90.67191016878893), (13.532579324356469, 112.71360582086723), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1483,"(20.736827296879742, 31.785623342016937)","(31.07936186420592, 66.8383767837222)","[(36.628465936934546, 36.7789303549463), (17.521292833557812, 44.57927823317359), (16.93, 57.2303554170432), (16.877462218875873, 83.18126956959686), (16.80947920037445, 94.95138885136811), (16.761566732767164, 104.38614763916678), (16.735491566326623, 111.89207055026525), (13.669698391674627, 85.47126476548608), (13.544635721363914, 109.24480816758238), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1484,"(20.439591263625854, 32.819849988334134)","(30.821228139578153, 68.56994200880749)","[(44.19862306023895, 36.817411808834876), (20.639636426471206, 39.28319532040013), (16.93, 53.000650105083224), (16.899731884594956, 76.53854642367534), (16.814964095826657, 94.23903805451306), (16.761568544871956, 104.38562601185905), (16.73549537999464, 111.89097275868643), (16.872050262145464, 84.79557894860957), (13.56378674857836, 103.73478405188303), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1485,"(20.97815284304264, 31.948329546983114)","(31.853330913694517, 66.53859262810474)","[(47.307901495842174, 36.83321723437593), (27.342768577729068, 36.96231624744499), (16.93, 49.40283912500739), (16.927970752368218, 68.11529557930875), (16.82044899127886, 93.52668725765801), (16.768352865952085, 102.43271072950697), (16.73549665854729, 111.89060471817302), (16.877954744745548, 83.03435613875607), (13.60266827344534, 95.81312445210571), (13.533855068240419, 112.3465560805425), (65.79771930351703, 33.71396088635062), (65.52574077728845, 36.915066188040385), (55.897917423761314, 33.676781280324114), (55.87783785900744, 36.87678087587183)]"
1486,"(22.333021344921015, 30.627871929020476)","(33.24149875838152, 64.64382631567767)","[(48.30563823001381, 36.838289039294054), (33.70234661101531, 36.76405598390237), (16.93, 49.40283912500739), (16.93, 61.37111699964953), (16.825933886731065, 92.81433646080298), (16.77134845822119, 101.57040809775718), (16.735497937099943, 111.8902366776596), (16.889682759288835, 79.5360569435586), (13.669977707351363, 85.38806859605833), (13.54801527484589, 108.27246235148282), (70.13930887477986, 33.69520221801584), (69.45851493143915, 36.898130796945956), (57.73610635259838, 33.68612536411939), (57.73861159395648, 36.88623976523333)]"
1487,"(24.473557532550963, 30.923032926262614)","(33.76821381991962, 66.05923623966352)","[(49.56087589963683, 36.84466980124074), (39.34331172776733, 36.79273075715894), (16.93, 49.40283912500739), (16.93, 57.28180668806937), (16.850105799328723, 89.67500931218201), (16.7743440504903, 100.70810546600742), (16.741116975980137, 110.27275620000336), (16.909833131933752, 73.5254886460464), (13.689836442926973, 79.47300235675152), (13.571013702466523, 101.6554861760605), (13.52772591857001, 114.11), (77.04812157877961, 33.66535137099903), (75.73243515873538, 36.871113915584395), (61.92198307330543, 33.70740347227323), (60.99250383887334, 36.902780307568406)]"
1488,"(27.709932479828737, 29.692922405087355)","(36.35163843202409, 64.64754173711326)","[(53.21397563998887, 36.863239638949395), (41.05456539156352, 36.80142958967753), (16.93, 49.40283912500739), (16.93, 57.016386133045266), (16.851322296720173, 89.5170167134674), (16.777339642759404, 99.84580283425765), (16.746560263968025, 108.70586687206148), (16.93, 66.95369986136294), (16.894601742949156, 78.06879438887978), (13.617351733067178, 93.90427470126689), (13.536548298469965, 111.57167526878416), (86.28317111278585, 33.61562550801475), (84.31906384496199, 36.834138002581504), (68.50334321484145, 33.70227072062718), (66.68673329828579, 36.91006669871552)]"
1489,"(28.880799953134808, 28.7143099004817)","(35.35638649347001, 65.8478565203534)","[(57.783416244942245, 36.88646752115475), (44.30800389580512, 36.81796782550819), (16.93, 49.40283912500739), (16.93, 56.92323922990833), (16.8520820770784, 89.41834023944274), (16.791675640457626, 97.26362619556576), (16.750900208674814, 107.45658278860732), (16.93, 64.88479205783177), (16.905149649179624, 74.9225046447065), (13.649825143441868, 89.68273135255716), (13.538612430549112, 110.97779498201277), (95.14761528797715, 36.69531917259358), (77.55177825612645, 33.66317522596969), (74.92035207434775, 36.87461092408176)]"
1490,"(28.31793298420421, 28.240821792955423)","(33.25815029446702, 67.70109351295633)","[(63.68791573780386, 36.916481921287904), (49.349527242744685, 36.843595450542054), (16.93, 49.40283912500739), (16.93, 56.90427094186039), (16.852254478526365, 89.39594960138838), (16.793934480215853, 96.97025938196629), (16.75951245816551, 104.9774852566429), (16.93, 64.5382812906156), (16.910258610902794, 73.39857434785222), (13.652174857692337, 89.37726849999629), (13.538612430549112, 110.97779498201277), (88.81175215796236, 33.58111348283036), (85.21001137350842, 36.830301386429866)]"
1491,"(19.52154590473683, 26.53634176163743)","(24.746680919499763, 73.49211573538396)","[(71.55930071979046, 36.88908435096741), (55.35334639878874, 36.87411472329235), (16.93, 49.40283912500739), (16.93, 56.90393144104823), (16.85228815380681, 89.39157602434048), (16.793934480215853, 96.97025938196629), (16.761164526507205, 104.50192558399779), (16.93, 64.44475418268988), (16.912668547146872, 72.67972479390478), (13.652174857692337, 89.37726849999629), (13.538612430549112, 110.97779498201277)]"
1492,"(23.30199549840164, 26.536560137623855)","(26.435836140118816, 73.44066366117738)","[(81.98415702122824, 36.84419262526744), (63.50743883486265, 36.9155645012786), (16.93, 49.40283912500739), (16.93, 56.90393144104823), (16.85229196440402, 89.39108112302797), (16.793934480215853, 96.97025938196629), (16.76126851605799, 104.47199144902262), (16.93, 64.40508899970136), (16.914319436296765, 72.18728814462219), (13.652174857692337, 89.37726849999629), (13.538612430549112, 110.97779498201277)]"
1493,"(27.6508320385755, 26.55980127145138)","(28.383405449249015, 73.39981493289864)","[(93.81797128987476, 36.71346717984702), (73.09592896008033, 36.882467291559465), (16.93, 49.40283912500739), (16.93, 56.90393144104823), (16.85229196440402, 89.39108112302797), (16.793934480215853, 96.97025938196629), (16.76129213554412, 104.46519241122833), (16.93, 64.40508899970136), (16.915253823378627, 71.90857382648981), (13.652174857692337, 89.37726849999629), (13.538612430549112, 110.97779498201277)]"
1494,"(21.5066239386726, 24.89419387693578)","(22.93213515318414, 77.06361343582122)","[(84.0177875981558, 36.835435364409854), (16.93, 49.40283912500739), (16.93, 56.90393144104823), (16.85229196440402, 89.39108112302797), (16.793934480215853, 96.97025938196629), (16.761295485127928, 104.46422820960443), (16.93, 64.40498857028534), (16.91525471569637, 71.90830766085374), (13.652174857692337, 89.37726849999629), (13.538612430549112, 110.97779498201277)]"
1495,"(24.707054750055914, 24.91691486279447)","(23.945977564380453, 77.05090741068558)","[(94.15621008228129, 36.70885063581964), (16.93, 49.40283912500739), (16.93, 56.90393144104823), (16.85229196440402, 89.39108112302797), (16.793934480215853, 96.97025938196629), (16.761296447670084, 104.46395113496936), (16.93, 64.40498857028534), (16.91525538099183, 71.90810921272256), (13.652174857692337, 89.37726849999629), (13.538612430549112, 110.97779498201277)]"
1496,"(1.4470055575898253, 21.73522771025393)","(16.144840617947025, 81.53335816344847)","[(16.93, 49.40283912500739), (16.93, 56.90393144104823), (16.85229196440402, 89.39108112302797), (16.793934480215853, 96.97025938196629), (16.761296447670084, 104.46395113496936), (16.93, 64.40498857028534), (16.91525538099183, 71.90810921272256), (13.652174857692337, 89.37726849999629), (13.538612430549112, 110.97779498201277)]"
1497,"(1.4645308393800347, 22.169343334183967)","(16.170396646666795, 81.27784378147575)","[(17.16000425847791, 47.1032096872529), (16.93, 56.90393144104823), (16.85229196440402, 89.39108112302797), (16.793934480215853, 96.97025938196629), (16.761296447670084, 104.46395113496936), (16.93, 64.40498857028534), (16.91525538099183, 71.90810921272256), (13.652174857692337, 89.37726849999629), (13.538612430549112, 110.97779498201277)]"
